Dışa Aktarım Tarihi:,23.06.2026 11:09:59
Toplam Kayıt Sayısı:,12120

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
BIO,İŞ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),16.06.2026,"2,486458",426013952.00,11341,"1059265703,01"
BIP,İSTANBUL PORTFÖY BİRİNCİ PARA PİYASASI SERBEST (TL) FON,16.06.2026,"1,524288",3800226803.00,199,"5792641417,89"
BIS,BV PORTFÖY BİRİNCİ SERBEST FON,16.06.2026,"1,683243",506359139.00,68,"852325636,73"
BIY,AZİMUT PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),16.06.2026,"1,331742",60292557.00,292,"80294126,48"
BJD,AZİMUT PORTFÖY 13.0 SERBEST (DÖVİZ) FON,16.06.2026,"51,135973",19176135.00,101,"980590321,42"
BKO,AZİMUT PORTFÖY BİRİNCİ KATILIM SERBEST ÖZEL FON,16.06.2026,"1,19429",3822315361.00,1,"4564952067,80"
BKY,YAPI KREDİ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON,16.06.2026,"47,641863",75476802.00,702,"3595855455,85"
BLA,BULLS PORTFÖY ALGORİTMİK HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"6,782869",935298004.00,15,"6344003593,15"
BLD,DENİZ PORTFÖY BALEV EĞİTİME DESTEK SERBEST FON,16.06.2026,"1,55481",326692119.00,774,"507944283,50"
BLT,BULLS PORTFÖY ALTIN FONU,16.06.2026,"1,676997",193966121.00,2706,"325280626,28"
BMU,BULLS PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"2,891134",832558475.00,25,"2407037955,57"
BNC,AK PORTFÖY BEŞİNCİ SERBEST FON,16.06.2026,"2,080568",334899190.00,242,"696780391,99"
BNH,İSTANBUL PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"1,331454",59343538.00,186,"79013190,23"
BOH,BULLS PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"0,958759",250569682.00,11,"240235886,91"
BOL,AKTİF PORTFÖY BORÇLANMA ARAÇLARI FONU,16.06.2026,"1,590082",25122974.00,237,"39947593,60"
BON,A1 CAPİTAL PORTFÖY BORÇLANMA ARAÇLARI FONU,16.06.2026,"1,286409",13170545.00,272,"16942706,45"
BOP,İŞ PORTFÖY ÖPY BİRİNCİ SERBEST (DÖVİZ) ÖZEL FON,16.06.2026,"47,263273",24454727.00,9,"1155810448,01"
BOS,BULLS PORTFÖY ALTINCI HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"1,376705",1739779895.00,1098,"2395163817,77"
BP5,BULLS PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"1,655591",245967790.00,15,"407222007,27"
BPD,BULLS PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,16.06.2026,"52,073115",2748429.00,11,"143119258,78"
BPZ,BULLS PORTFÖY PARA PİYASASI (TL) FONU,16.06.2026,"1,468447",231635764.00,591,"340144806,47"
BRB,BULLS PORTFÖY ARENA SERBEST FON,16.06.2026,"1,055153",659840963.00,11,"696233462,97"
BRC,RE-PIE PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"1,272677",101311475.00,36,"128936819,66"
