Dışa Aktarım Tarihi:,16.06.2026 19:31:42
Toplam Kayıt Sayısı:,24155

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
EBD,GLOBAL MD PORTFÖY İKİNCİ DEĞİŞKEN FON,01.06.2026,"0,264321",260959144.00,547,"68976931,82"
EBI,EMAA BLUE PORTFÖY İKİNCİ SERBEST (DÖVİZ-AVRO) FON,01.06.2026,"53,525115",13265400.00,26,"710032062,22"
EBS,EMAA BLUE PORTFÖY BİRİNCİ SERBEST (DÖVİZ-ABD DOLARI) FON,01.06.2026,"46,129228",78135239.00,33,"3604318233,12"
EC2,GLOBAL MD PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),01.06.2026,"84,530179",979238.80,2446,"82775231,20"
ECA,GLOBAL MD PORTFÖY BİRİNCİ DEĞİŞKEN FON,01.06.2026,"1,716535",126140556.00,374,"216524714,62"
ECB,GLOBAL MD PORTFÖY PARA PİYASASI (TL) FONU,01.06.2026,"49,06466",12965926.00,3220,"636168751,45"
ECV,GLOBAL MD PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,01.06.2026,"0,449342",233102638.18,2444,"104742836,53"
EDD,QNB PORTFÖY ENPARA DENGELİ DEĞİŞKEN ÖZEL FON,01.06.2026,"1,065724",10196868.00,59,"10867049,62"
EDP,NEO PORTFÖY KORUNCUK EĞİTİME DESTEK PARA PİYASASI SERBEST FON,01.06.2026,"1,066903",50950818.00,37,"54359581,36"
EDT,DENİZ PORTFÖY TED EĞİTİME DESTEK SERBEST FON,01.06.2026,"2,070997",472457912.00,662,"978458796,40"
EDU,İŞ PORTFÖY TEV EĞİTİME DESTEK DEĞİŞKEN FON,01.06.2026,"3,325616",133073971.00,648,"442552884,27"
EES,İSTANBUL PORTFÖY EE SERBEST (DÖVİZ) ÖZEL FON,01.06.2026,"54,651993",7966451.00,1,"435382422,73"
EGP,GARANTİ PORTFÖY EKİM 2028 SÜRDÜRÜLEBİLİRLİK SERBEST (DÖVİZ-ABD DOLARI) FON,01.06.2026,"54,429906",4574142.00,50,"248970118,91"
EHS,AZİMUT PORTFÖY ERCİYES HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),01.06.2026,"2,875507",235938967.00,3,"678444076,72"
